	C0_1	C0_2	C63_1	C63_2
ASV_904	0	1	0	1
ASV_905	0	0	5	0
ASV_906	0	0	4	0
ASV_907	0	0	4	0
ASV_908	0	0	4	0
ASV_909	0	0	4	0
ASV_910	0	0	3	0
ASV_911	0	0	3	1
ASV_912	0	0	3	0
ASV_913	0	0	2	0
ASV_914	0	0	2	1
ASV_915	0	0	2	1
ASV_916	0	0	2	1
ASV_917	0	0	2	1
ASV_918	0	0	1	1
ASV_919	0	0	1	2
ASV_920	0	0	1	4
ASV_921	0	0	1	0
ASV_922	0	0	1	3
ASV_923	0	0	1	3
ASV_924	0	0	0	4
ASV_925	0	0	0	1
ASV_926	0	0	0	1
ASV_927	0	0	0	1
ASV_945	4	0	0	0
ASV_946	3	1	0	0
ASV_947	3	0	0	0
ASV_948	3	1	0	0
ASV_949	3	1	0	0
ASV_950	2	0	0	0
ASV_951	2	1	0	0
ASV_952	2	0	0	0
ASV_953	2	2	0	0
ASV_954	2	0	0	0
ASV_955	2	0	0	0
ASV_956	1	0	1	0
ASV_957	1	3	0	0
ASV_958	1	0	0	0
ASV_959	1	1	1	0
ASV_960	1	0	1	0
ASV_961	1	0	0	0
ASV_962	1	0	3	0
ASV_963	1	1	0	0
ASV_964	1	0	0	0
ASV_965	1	3	0	0
ASV_966	1	0	0	0
ASV_967	1	0	0	0
ASV_968	0	4	0	0
ASV_969	0	4	0	0
ASV_970	0	4	0	0
ASV_971	0	4	0	0
ASV_972	0	2	0	0
ASV_973	0	2	0	0
ASV_974	0	2	0	0
ASV_975	0	1	0	0
ASV_976	0	1	0	0
ASV_977	0	1	1	0
ASV_978	0	1	1	0
ASV_979	0	1	2	0
ASV_980	0	1	0	2
ASV_981	0	1	1	0
ASV_982	0	1	0	0
ASV_983	0	1	0	0
ASV_984	0	1	0	0
ASV_985	0	1	3	0
ASV_986	0	0	4	0
ASV_987	0	0	4	0
ASV_988	0	0	4	0
ASV_989	0	0	4	0
ASV_990	0	0	4	0
ASV_991	0	0	3	1
ASV_992	0	0	3	1
ASV_993	0	0	3	0
ASV_994	0	0	3	1
ASV_995	0	0	2	2
ASV_996	0	0	2	0
ASV_997	0	0	2	0
ASV_998	0	0	2	0
ASV_999	0	0	1	2
ASV_1000	0	0	1	0
ASV_1001	0	0	1	0
ASV_1002	0	0	1	0
ASV_1003	0	0	1	1
ASV_1004	0	0	1	1
ASV_1005	0	0	1	0
ASV_1006	0	0	1	1
ASV_1007	0	0	1	0
ASV_1008	0	0	1	1
ASV_1009	0	0	1	1
ASV_1010	0	0	1	3
ASV_1011	0	0	0	4
ASV_1012	0	0	0	4
ASV_1013	0	0	0	4
ASV_1014	0	0	0	3
ASV_1015	0	0	0	3
ASV_1016	0	0	0	2
ASV_1017	0	0	0	2
ASV_1018	0	0	0	1
ASV_1019	0	0	0	1
ASV_1020	0	0	0	1
ASV_1054	3	0	0	0
ASV_1055	3	0	0	0
ASV_1056	3	0	0	0
ASV_1057	3	0	0	0
ASV_1058	3	0	0	0
ASV_1059	3	0	0	0
ASV_1060	3	0	0	0
ASV_1061	2	0	0	0
ASV_1062	2	1	0	0
ASV_1063	2	0	0	0
ASV_1064	2	0	0	0
ASV_1065	2	0	0	0
ASV_1066	2	1	0	0
ASV_1067	1	2	0	0
ASV_1068	1	0	0	0
ASV_1069	1	2	0	0
ASV_1070	1	1	0	0
ASV_1071	1	2	0	0
ASV_1072	1	0	1	0
ASV_1073	1	2	0	0
