vMAGs	profile	Kingdom	Phylum	Class	Order	Family
KSW-V-k141_277152||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_570790||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_1072481||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C0_2-NODE_150_length_6418_cov_6.205878	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S2C20429	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C0_1-NODE_191_length_6407_cov_19.287783	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-k141_890731	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C0_2-NODE_147_length_6471_cov_4.346478||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S3C18476	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C19906	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_1037893||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_24013	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_1033467	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S2C2659	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_458646||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S3C4561	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S2C20791	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_302301||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S1C5143	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_680049||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S2C8781	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S2C1173	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S3C3331	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C18975	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_82229||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_194634	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-k141_498861	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S6C632	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C0_2-NODE_164_length_6239_cov_6.626132	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-C63_2-NODE_481_length_6482_cov_175.435818||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_423091||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-k141_924612||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C63_1-NODE_419_length_6345_cov_15.342130||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S5C5409	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-k141_949168	Classified	Viruses	Others	Arfiviricetes	Cirlivirales	Circoviridae
KSW-V-C0_2-NODE_163_length_6248_cov_68.101082||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_484674||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-T0_1-NODE_400_length_6238_cov_6.637878||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S3C3320	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-S5C16999	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-k141_230200||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S6C19153	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_1073443||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C0_2-NODE_168_length_6156_cov_13.326176	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-S4C11420	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-k141_977289||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C63_2-NODE_522_length_6168_cov_62.783903||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C63_2-NODE_533_length_6100_cov_6.461042||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S2C21147	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_688814||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S2C18446	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-k141_377960	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-T63_2-NODE_1335_length_6042_cov_15.978787	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_50508	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-T0_2-NODE_236_length_6035_cov_4.235452	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C0_1-NODE_224_length_6021_cov_3.971673	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_997491||full	Classified	Viruses	Others	Faserviricetes	Tubulavirales	Inoviridae
KSW-V-k141_190238||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-T0_1-NODE_401_length_6224_cov_7.250608||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S3C12485	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_803511||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_167794||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-C0_2-NODE_182_length_5988_cov_30.018203||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-C63_1-NODE_473_length_5985_cov_3.974368||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_772760	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-C63_2-NODE_550_length_5978_cov_10.570657	Classified	Viruses	Others	Arfiviricetes	Cirlivirales	Circoviridae
KSW-V-S2C1213	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_873854||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S1C13548	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-k141_505976	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
