	C0_1_C	C0_2_C	C63_1_C	C63_2_C
KSW-C63_2_V_NODE_153_length_11377_cov_12.395248||full	2.5317251510737	2.5317251510737	7.1949745559296	7.76221980621498
KSW-C63_2_V_NODE_156_length_11327_cov_8.099184||full	5.15840752039031	5.76484456508975	3.82991977538708	2.5317251510737
KSW-C63_2_V_NODE_165_length_11104_cov_4.940357||full	3.25296471822983	2.5317251510737	4.3145874887721	4.68888125033889
KSW-C63_2_V_NODE_181_length_10559_cov_5.122906||full	3.54162108714587	4.10625362164894	3.46463352344005	3.68284383778905
KSW-C63_2_V_NODE_188_length_10503_cov_9.855379||full	6.30411982736059	6.73855520812813	4.930556726608	5.84688053464377
KSW-C63_2_V_NODE_191_length_10333_cov_8.404943||full	3.25296471822983	2.5317251510737	2.5317251510737	2.5317251510737
KSW-C63_2_V_NODE_192_length_10320_cov_39.392986||full	7.46467194761646	7.87017246370737	7.63774349279574	9.44799693083107
KSW-C63_2_V_NODE_196_length_10216_cov_9.776105||full	6.61888476408424	6.27340626379123	7.80869025781598	7.76221980621498
KSW-C63_2_V_NODE_211_length_9855_cov_9.426224||full	2.5317251510737	2.5317251510737	6.3442898925104	7.44602955078251
KSW-C63_2_V_NODE_217_length_9766_cov_4.751828||full	4.64284751369435	3.59049917637977	6.15335372269798	5.63522557815563
KSW-C63_2_V_NODE_237_length_9377_cov_5.996889||full	5.38375431082524	5.51002626410974	5.25656688517803	4.43726575838817
KSW-C63_2_V_NODE_238_length_9365_cov_5.193340||full	3.75685345068644	3.15203005540446	5.35002097295545	4.43726575838817
KSW-C63_2_V_NODE_261_length_8959_cov_22.101864||full	7.54673976629992	8.07581263499648	7.84057364217733	9.25987281886059
KSW-C63_2_V_NODE_265_length_8914_cov_7.774128||full	9.81350028870414	9.81304816704081	10.3368347147042	10.344305562714
KSW-C63_2_V_NODE_275_length_8746_cov_6.100564||full	3.25296471822983	2.5317251510737	2.5317251510737	2.5317251510737
KSW-C63_2_V_NODE_287_length_8607_cov_8.574135||full	2.5317251510737	2.5317251510737	6.62712409640781	7.44602955078251
KSW-C63_2_V_NODE_291_length_8537_cov_4.944471||full	3.25296471822983	3.15203005540446	2.5317251510737	3.68284383778905
KSW-C63_2_V_NODE_302_length_8396_cov_4.963673||full	3.93347969018743	4.20447280754932	2.5317251510737	3.68284383778905
KSW-C63_2_V_NODE_317_length_8182_cov_14.287560||full	2.5317251510737	3.40246517995411	4.3145874887721	4.43726575838817
KSW-C63_2_V_NODE_319_length_8097_cov_6.024123||full	4.08517143508171	4.20447280754932	4.3145874887721	5.0816541107066
KSW-C63_2_V_NODE_320_length_8095_cov_170.122637||full	7.338668777096	7.29297895997183	6.73309885659593	7.12304641000827
KSW-C63_2_V_NODE_323_length_8028_cov_111.034366||full	7.31208808758607	5.3627933687293	9.1478845152941	8.80139991503276
KSW-C63_2_V_NODE_326_length_8004_cov_10.103912||full	3.75685345068644	2.5317251510737	2.5317251510737	2.5317251510737
KSW-C63_2_V_NODE_327_length_8003_cov_10.731631||full	4.21902616517125	3.59049917637977	5.51993422058679	3.68284383778905
KSW-C63_2_V_NODE_330_length_7967_cov_19.069009||full	3.75685345068644	4.45850345532294	2.5317251510737	3.68284383778905
KSW-C63_2_V_NODE_331_length_7953_cov_1609.497088||full	4.33930598842852	3.74577306151715	2.5317251510737	2.5317251510737
KSW-C63_2_V_NODE_340_length_7849_cov_9.278034||full	5.66524696797476	6.10043777212193	7.24352166090955	6.26879780649762
KSW-C63_2_V_NODE_342_length_7807_cov_4.003483||full	3.75685345068644	3.15203005540446	5.04812367255347	5.0816541107066
KSW-C63_2_V_NODE_345_length_7770_cov_4.513415||full	3.25296471822983	2.5317251510737	2.5317251510737	3.68284383778905
KSW-C63_2_V_NODE_354_length_7624_cov_49.391597||full	7.27127304392885	6.95649403352791	8.31913967148964	7.65510126123214
KSW-C63_2_V_NODE_358_length_7526_cov_4.615714||full	4.08517143508171	3.87988673391643	4.930556726608	4.43726575838817
KSW-C63_2_V_NODE_366_length_7415_cov_12.676766||full	2.5317251510737	2.5317251510737	6.1013357595757	7.12304641000827
KSW-C63_2_V_NODE_372_length_7343_cov_75.571762||full	5.33077031276961	5.32341131217673	5.04812367255347	5.24215575814538
